type,id,version,timestamp,changeset,user,uid,lat,lon,tag:alt_name,tag:name,tag:natural,tag:short_name,tag:tourism,tag:website,tag:wheelchair,tag:wikidata,tag:wikipedia,tag:cave:ref,tag:ele,tag:wikimedia_commons,tag:fee,tag:depth,tag:geological,tag:historic,tag:historic:civilization,tag:historic:era,tag:historic:period,tag:access,tag:internet_access,tag:internet_access:fee,tag:internet_access:ssid,tag:name:mi,tag:ref:linz:place_id,tag:email,tag:name:af,tag:name:en,tag:phone,tag:name:ar,tag:name:fr,tag:source,tag:protect_class,tag:protection_title,tag:ref,tag:ref:DE-BY,tag:short_protection_title,tag:barrier,tag:internet_access:description,tag:opening_hours,tag:start_date,tag:reservation,tag:height,tag:locked,tag:note:en,tag:note:hu,tag:official_name,tag:protection_object,tag:protection_title:en,tag:name:de,tag:name:ru,tag:payment:cards,tag:payment:coins,tag:addr:city,tag:addr:country,tag:addr:postcode,tag:contact:phone,tag:contact:website,tag:heritage,tag:heritage:operator,tag:ref:whc,tag:lit,tag:LINZ:source_version,tag:attribution,tag:source_ref,tag:material,tag:not:natural,tag:name:ca,tag:name:tk,tag:wpt_symbol,tag:direction,tag:cave:fee,tag:name:es,tag:addr:street,tag:charge,tag:payment:cash,tag:mhs:inscription_date,tag:ref:mhs,tag:source:heritage,tag:url,tag:SIRUTA:code,tag:codul_entității_muzeale,tag:duration,tag:interval,tag:level,tag:museum_type,tag:name:hu,tag:photography:inside,tag:photography:note,tag:source:link,tag:temperature,tag:tourism_survey,tag:description,tag:name:tr,tag:highway,tag:subject:wikidata,tag:subject:wikipedia,tag:fixme,tag:designation,tag:length,tag:int_name,tag:note,tag:payment:credit_cards,tag:cave:ref:IT:FST,tag:source:url,tag:cave:length,tag:name:hr,tag:name:it,tag:operator,tag:source:name:mi,tag:name:ne,tag:name:he
node,440011392,2,2019-06-15T12:43:06Z,71279045,kartonage,1497225,-19.754733,63.3868419,,Caverne Patate,cave_entrance,,attraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,475710521,5,2026-01-15T23:33:01Z,177278393,Brían,21918366,52.2471229,-9.4443544,,Crag Cave,cave_entrance,,attraction,https://www.cragcave.com/,,Q1138482,,,,,yes,,,,,,,customers,wlan,no,cave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,495996579,5,2023-01-06T06:19:33Z,130933624,❤️‍🔥_import,8389777,-45.2945045,167.7264435,Te Anau Glowworm Caves,Te Ana-au Glow-Worm Caves,cave_entrance,,attraction,,,Q1436725,,,,,,,,,,,,,,,,Te Ana-au Glow-Worm,42187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,496887249,2,2010-04-18T14:10:19Z,4458262,woessmich,86889,47.5352604,7.8033875,,Bierkeller Theophil Roniger,cave_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,503858812,11,2026-01-02T16:36:50Z,176751574,confusedbuffalo,242345,-33.3922844,22.2143761,,Cango Caves,cave_entrance,,attraction,https://www.cango-caves.co.za/,no,Q1033211,en:Cango Caves,,,Category:Cango Caves,yes,,,,,,,permissive,,,,,,reservations@cangocaves.co.za,Kangogrotte,Cango Caves,+27 44 272 7410; +27 82 303 0029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,516610283,2,2020-07-11T22:57:37Z,87865497,MustafaQasim,9535554,30.6804948,-9.3447545,,Wintindouine وينتيمدوين,cave_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,وينتيمدوين,Wintindouine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,554858725,2,2022-02-21T17:56:50Z,117693612,skifans,2800603,54.2210687,-2.516764,,Lancaster Hole,cave_entrance,,,,,,,,,,no,,,,,,,permit,,,,,,,,,,,,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,556748045,9,2023-02-26T00:37:12Z,133026534,ivanbranco,11220113,49.7793379,11.2826077,,Zoolithenhöhle,cave_entrance,,,,no,Q15062161,de:Zoolithenhöhle,D 109,,Category:Zoolithenhöhle,,,,,,,,no,,,,,,,,,,,,,7,Naturdenkmal,042,ND-04462,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,558629070,5,2017-09-24T23:49:33Z,52341394,nyuriks,339581,43.3975847,-4.5329511,,Cueva el Pindal,cave_entrance,,attraction,,,Q555011,es:Cueva del Pindal,,,,yes,,palaeontological_site,archaeological_site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,644792344,12,2025-12-13T15:30:40Z,175888091,GeoAndi,16771983,50.6877814,8.2063777,,Herbstlabyrinth-Adventhöhle-System,cave_entrance,,attraction,https://schauhöhle-breitscheid.de/,,Q1609531,de:Herbstlabyrinth-Adventhöhle-System,,,,yes,,,,,,,customers,wlan,no,Hessen-WLAN Breitscheid,,,,,,+49 231 9172290,,,,,,,,,door,4 MBit pro Nutzer,"Sa-Su, PH 11:00-18:00",2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,686817231,6,2021-08-09T13:04:12Z,109408820,Gustry,86289,43.709593,3.5525836,,Grotte de Clamouse,cave_entrance,,attraction,https://www.clamouse.com/,,Q2975544,,,,,yes,,,,,,,customers,,,,,,,,,+33 4 67 57 71 05,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,gate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,696792182,9,2023-08-18T17:56:20Z,140068496,Fresno map,18864067,36.5892266,-118.826153,,Crystal Cave,cave_entrance,,attraction,https://www.nps.gov/seki/planyourvisit/crystal-cave.htm,,Q5191154,,,,,yes,,,,,,,customers,,,,,,,,,,,,,,,,,,,,,,required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,707254947,12,2025-09-14T18:36:12Z,171930238,itineris,622084,46.1366843,18.1165307,,Abaligeti-cseppkőbarlang,cave_entrance,,,https://termeszetvedelem.hu/talalati-oldal/?type=orszagos-barlangnyilvantartas&id=4120-1,,Q305277,hu:Abaligeti-barlang,4120-1,,,yes,10,,,,,,customers,,,,,,,,,,,,,3,fokozottan védett,,,,door,,"""Cave tours start every hour between 9 and 17.00""",,,48.7,yes,accessible with the permission of the National Park Directorate,NPI hozzájárulásával látogatható,Abeligeti-barlang,cave,strictly protected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,715290197,27,2025-10-22T13:36:53Z,173628397,Pan Perníček,9641379,36.5391555,32.1097885,Gavurini Mağarası,Dim Mağarası,cave_entrance,,attraction,,,Q769148,tr:Dim Mağarası,,,Category:Dim Cave,yes,,,,,,,yes,,,,,,,,Dim Cave,,,,,,,,,,,,,,,,,,,,,,Dim Höhle,Пещера Дим,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,745919883,7,2025-07-06T06:46:05Z,168547948,Fjellrev,674625,46.6846706,7.7823068,,St.Beatus-Höhlen,cave_entrance,,,,no,Q664463,de:St. Beatus-Höhlen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mar-Oct Mo-Su 09:30-17:00,,,,,,,,,,,,,,Sundlauenen,CH,3800,+41 33 841 16 43,https://www.beatushoehlen.swiss/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,776040430,1,2010-06-19T11:16:05Z,5022779,stevea,123633,37.2841065,-122.1598132,,Bodhidharma Cave,cave_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,903676829,4,2025-03-03T13:25:30Z,163161281,miroslavuzice87,4611642,-24.5338246,-48.7022212,,Caverna Santana,cave_entrance,,attraction,,,Q5055052,pt:Caverna Santana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,923447187,5,2024-12-09T17:30:03Z,160100836,Harald Hetzner,9177796,47.3778454,10.1503983,,Hölloch,cave_entrance,,,,,Q1485840,de:Hölloch (Deutschland),,1438,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,942519597,3,2024-04-09T11:19:43Z,149772712,tg4567,12500589,28.6230973,31.2864247,,Sannur Cave,cave_entrance,,,,,Q4116382,ar:محمية كهف وادي سنور,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,977664869,1,2010-11-05T18:29:58Z,6297170,Andreas Binder,268988,47.7076733,12.0166049,,Unteres Wetterloch,cave_entrance,,,,,,,,1440,,,,,,,,,,,,,,,,,,,,,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,981440188,21,2025-12-01T15:53:07Z,175364988,itineris,622084,48.471632,20.4954489,,Baradla-barlang bejárat,cave_entrance,,,https://termeszetvedelem.hu/talalati-oldal/?type=orszagos-barlangnyilvantartas&id=5430-1,,Q631356,hu:Baradla-barlang bejárat,5430-1,,,yes,102.5,,,,,,customers,,,,,,,,,,,,,3,fokozottan védett,,,,door,,,,,139.15,yes,accessible with the permission of the National Park Directorate,NPI hozzájárulásával látogatható,,cave,strictly protected,,,,,,,,,,1,whc,725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,992092588,1,2010-11-17T00:40:23Z,6389729,Alexander Avtanski,79401,38.06904,-120.4660397,,Moaning Cave,cave_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1017924795,4,2016-04-23T09:31:55Z,38809060,Schermy,381316,47.2796888,13.0846577,,Entrische Kirche,cave_entrance,,,,,Q1345167,de:Entrische Kirche,2595/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1074302540,2,2019-03-20T01:03:37Z,68316105,aharvey,237525,-35.7235272,148.4870203,,Jersey Cave,cave_entrance,,,,,,,,,,yes,,,,,,,customers,,,,,,,,,,,,,,,,,,gate,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1123061406,1,2011-01-27T04:59:59Z,7100312,LINZ Data Upload,252775,-38.8963773,177.5265189,,,cave_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V16,http://wiki.osm.org/wiki/Attribution#LINZ,http://www.linz.govt.nz/topography/topo-maps/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1123061543,5,2016-11-30T09:19:39Z,44054904,pavlina88,3666419,-41.2026465,172.1817695,,Miners Cave,cave_entrance,,viewpoint,,no,,,,,,no,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V16,http://wiki.osm.org/wiki/Attribution#LINZ,http://www.linz.govt.nz/topography/topo-maps/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1123061583,1,2011-01-27T05:00:10Z,7100312,LINZ Data Upload,252775,-37.5449778,175.0161498,,,cave_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V16,http://wiki.osm.org/wiki/Attribution#LINZ,http://www.linz.govt.nz/topography/topo-maps/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1123061603,3,2024-03-03T03:44:29Z,148152684,❤️‍🔥_import,8389777,-41.9518936,171.4768536,,Hole in the Hill,cave_entrance,,,,,Q32222687,,,,,,,,,,,,,,,,,2048,,,,,,,LINZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,limestone,rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1123061615,2,2024-03-03T03:44:29Z,148152684,❤️‍🔥_import,8389777,-42.0435608,171.4436588,,Ballroom Overhang,cave_entrance,,,,,Q32124933,en:Ballroom Overhang,,,,,,,,,,,,,,,,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1123061620,1,2011-01-27T05:00:12Z,7100312,LINZ Data Upload,252775,-41.5658266,172.6776573,,,cave_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V16,http://wiki.osm.org/wiki/Attribution#LINZ,http://www.linz.govt.nz/topography/topo-maps/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1174578048,9,2025-11-08T13:21:18Z,174376051,SomeoneElse_Revert,1778799,43.5933164,25.9600821,,Орлова чука,cave_entrance,,,,,Q12289333,bg:Орлова чука,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1192434410,10,2025-09-14T18:36:12Z,171930238,itineris,622084,47.699993,18.8444428,,Leány-barlang,cave_entrance,,,https://termeszetvedelem.hu/talalati-oldal/?type=orszagos-barlangnyilvantartas&id=4840-1,,,,4840-1,460,,,139.6,,,,,,permit,,,,,,,,,,,,,3,fokozottan védett,,,,door,,,,,206.1,yes,accessible with the permission of the National Park Directorate,NPI hozzájárulásával látogatható,Ariadne-barlangrendszer,cave,strictly protected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1201366333,3,2011-03-17T09:50:09Z,7583449,Dave- Tas,276071,-41.5516035,146.2481437,,King Solomon Caves,cave_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1312824946,10,2026-02-05T09:30:00Z,178130083,cave2596,6841341,44.3143024,15.4750108,,Manita peć,cave_entrance,,,https://www.np-paklenica.hr/en/index.php/park/tourist-facilities/manita-pec-cave,,,,,570,,yes,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1325351976,8,2023-09-17T13:43:25Z,141382596,tg4567,12500589,39.5070206,3.2995185,,Cova des Pirata,cave_entrance,,,,,Q20639449,,,22,Category:Cova des Pirata,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cova des Pirata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1389940709,2,2019-12-25T04:28:54Z,78836134,camelCaseNick,9563645,47.8231298,13.8427464,,Gasselhöhle,cave_entrance,,,,,Q1495345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1488744824,7,2024-08-05T19:42:12Z,154866214,TommiG,6096256,47.080068,11.6714154,,Spannagelhöhle,cave_entrance,,,https://www.spannagelhoehle.at,,Q875718,de:Spannagelhöhle,2515/1,,Category:Spannagelhöhle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1572294886,4,2025-01-31T17:29:16Z,161985473,Candid Dauth,41897,37.2325328,30.7113958,,Kocain Mağarası,cave_entrance,,attraction,,,Q30589415,en:Kocain Cave,,,Category:Kocain Cave,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kocain-Höhle,,,,,,,,,,,,,,,,,,,Kocain Mağarası,Skull and Crossbones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1825661457,1,2012-07-14T19:30:12Z,12220843,jeawrong,179966,41.0320735,17.1565982,,Grotta Valentini,cave_entrance,,,,,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1961032052,5,2022-11-26T02:36:44Z,129387823,jmaspons,11725140,40.9499921,0.5110749,,Cova Meravelles,cave_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cova Meravelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2163196165,2,2014-02-13T18:05:18Z,20545543,geoscoutpr,621792,18.4081159,-66.981154,,,cave_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2174721117,1,2013-02-26T07:30:21Z,15169962,pfg21,717210,54.1314346,56.8426495,,,cave_entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2264386190,2,2019-05-07T03:17:59Z,69957433,5m4u9,72264,-18.1143342,-65.8115243,,Caverna Umajalanta,cave_entrance,,attraction,,,,,,,,yes,,,,,,,customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2267151473,6,2025-01-25T17:45:41Z,161755500,Acimut,17237320,22.5475962,-83.8430155,,Caverna de Santo Tomás,cave_entrance,,,,,Q1051870,es:Caverna de Santo Tomás,,,,,,,,,,,,,,,,,,,Cave of Santo Tomás,,,,,,,,,,,,Mo-Su 09:00-17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 CUC,Caverna de Santo Tomás,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2285744211,3,2018-09-07T01:28:20Z,62358983,sb9576,943785,-34.2734417,115.0969569,,Moondyne Cave,cave_entrance,,attraction,,,Q4164274,en:Moondyne Cave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AU,,,,,,,,,,,,,,,,,,,Jewel Caves Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2375460063,5,2025-09-21T15:04:25Z,172251099,Harald Hetzner,9177796,44.0045419,15.0384678,,Strašna peć,cave_entrance,,attraction,,,Q16113130,hr:Strašna peć,,,,yes,,,,,,,customers,,,,,,,,,,,,,,,,,,,,"May-Sep Mon-Sun 11:00-14:30, 15:30-19:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 EUR,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
