type,id,version,timestamp,changeset,user,uid,lat,lon,tag:name,tag:natural,tag:source:url,tag:volcano:status,tag:volcano:type,tag:wikidata,tag:description,tag:man_made,tag:ref,tag:source:ref,tag:ele,tag:salt,tag:source,tag:source:ele,tag:tidal,tag:water,tag:wikipedia,tag:geological,tag:loc_name,tag:sport,tag:wikimedia_commons,tag:windsurfing:conditional
node,13200943487,2,2025-10-07T15:29:33Z,172965040,fthierygeo,8813335,50.2923379,6.5064981,Dehner Maar,volcano,https://kulturdb.de/einobjekt.php?id=8502,extinct,maar,Q134466523,,,,,,,,,,,,,,,,
node,13200955773,2,2025-10-07T15:27:50Z,172964975,fthierygeo,8813335,50.2775941,6.5933215,Auel Maar,volcano,https://kulturdb.de/einobjekt.php?id=23391,extinct,maar,Q134466471,,,,,,,,,,,,,,,,
node,13386703821,3,2025-12-18T15:40:52Z,176101661,fthierygeo,8813335,50.2824961,6.5951003,AU3,,https://kulturdb.de/einobjekt.php?id=23391,,,,bore hole for geoscientific research,bore_hole,AU3,doi=10.3390/quat7020017,,,,,,,,,,,,
node,13386723672,1,2025-12-18T15:49:54Z,176102156,fthierygeo,8813335,50.2927959,6.5065854,DE4,,https://kulturdb.de/einobjekt.php?id=8502,,,,bore hole for geoscientific research,bore_hole,DE4,doi=10.3390/quat7020017,,,,,,,,,,,,
node,13386786938,1,2025-12-18T15:45:10Z,176101890,fthierygeo,8813335,50.2821054,6.5949806,AU4,,https://kulturdb.de/einobjekt.php?id=23391,,,,bore hole for geoscientific research,bore_hole,AU4,doi=10.3390/quat7020017,,,,,,,,,,,,
way,23450728,18,2025-12-19T13:22:37Z,176140712,fthierygeo,8813335,50.169354029508206,6.857113904918035,Schalkenmehrener Maar,water,https://kulturdb.de/einobjekt.php?id=16656,,,Q2230360,,,,doi=10.1016/j.quascirev.2012.09.01,421,no,http://www.badeseen.rlp.de/servlet/is/1131/,infoboard,no,lake,de:Schalkenmehrener Maar,,,,,
way,56428302,36,2025-12-19T13:26:50Z,176140841,fthierygeo,8813335,50.41012529681529,7.266720711464967,Laacher See,water,,,,Q549267,,,,doi=10.1016/j.quascirev.2012.09.01,275,,www.dive-links.com,,,lake,de:Laacher See,volcanic_caldera_rim,Loch;Lösche See,scuba_diving;windsurfing;wingsurfing;sailing,Category:Laacher See,permit @ Jun-Sep
way,72767715,6,2025-12-21T10:40:41Z,176211538,fthierygeo,8813335,50.177668450000006,6.83644002,Gemündener Maar,water,,,,Q1501226,,,,doi=10.1016/j.quascirev.2012.09.01,407,,,infoboard,,lake,de:Gemündener Maar,,,,,
way,144719688,6,2025-12-21T10:53:18Z,176211971,fthierygeo,8813335,50.11885730326084,6.877961894565216,Holzmaar,water,https://kulturdb.de/einobjekt.php?id=777,,,,,,,doi=10.1016/j.quascirev.2012.09.01,,,,,,,de:Holzmaar,,,,,
way,144726746,14,2025-12-21T11:10:12Z,176212609,fthierygeo,8813335,50.21039865652174,6.982133803260868,Ulmener Maar,water,,,,Q1257548,,,,doi=10.1016/j.quascirev.2012.09.01,,,,,,,de:Ulmener Maar,,,fishing,,
way,144726755,18,2025-12-21T10:56:06Z,176212110,fthierygeo,8813335,50.21789210593608,6.9800719269406395,Jungferweiher,water,,,,,,,,doi=10.1016/j.quascirev.2012.09.01,,,,,,,,,,,,
